origin country,latitude,longitude,km depth,lower yield,upper yield,purpose,name,type,date
USA,32.54,-105.57,-0.1,21.0,21.0,Weapons related,Trinity,TOWER,1945
USA,34.23,132.27,-0.6,15.0,15.0,Wartime use,Littleboy,AIRDROP,1945
USA,32.45,129.52,-0.6,21.0,21.0,Wartime use,Fatman,AIRDROP,1945
USA,11.35,165.2,-0.2,21.0,21.0,Weapons effects testing,Able,AIRDROP,1946
USA,11.35,165.2,0.03,21.0,21.0,Weapons effects testing,Baker,UW,1946
USA,11.3,162.15,-0.08,37.0,37.0,Weapons related,X-Ray,TOWER,1948
USA,11.3,162.15,-0.08,49.0,49.0,Weapons related,Yoke,TOWER,1948
USA,11.3,162.15,-0.08,18.0,18.0,Weapons related,Zebra,TOWER,1948
USSR,48.0,76.0,0.0,22.0,22.0,Weapons related,Nan,SURFACE,1949
USA,37.0,-116.0,-0.35,1.0,1.0,Weapons related,Able,AIRDROP,1951
USA,37.0,-116.0,-0.35,8.0,8.0,Weapons related,Baker,AIRDROP,1951
USA,37.0,-116.0,-0.35,1.0,1.0,Weapons related,Easy,AIRDROP,1951
USA,37.0,-116.0,-0.4,8.0,8.0,Weapons related,Baker2,AIRDROP,1951
USA,37.0,-116.0,-0.5,22.0,22.0,Weapons related,Fox,AIRDROP,1951
USA,11.3,162.15,-0.1,81.0,81.0,Weapons related,Dog,TOWER,1951
USA,11.3,162.15,-0.1,47.0,47.0,Weapons related,Easy,TOWER,1951
USA,11.3,162.15,-0.07,225.0,225.0,Weapons related,George,TOWER,1951
USA,11.3,162.15,-0.07,45.5,45.5,Weapons related,Item,TOWER,1951
USSR,48.0,76.0,0.0,38.0,38.0,Weapons related,Nan,SURFACE,1951
USSR,48.0,76.0,0.0,42.0,42.0,Weapons related,Nan,AIRDROP,1951
USA,37.0,-116.0,-0.03,0.0,0.1,Weapons related,Able,TOWER,1951
USA,37.0,-116.0,-0.4,3.5,3.5,Weapons related,Baker,AIRDROP,1951
USA,37.0,-116.0,-0.4,14.0,14.0,Weapons related,Charlie,AIRDROP,1951
USA,37.0,-116.0,-0.5,21.0,21.0,Weapons related,Dog,AIRDROP,1951
